order_id,customer_id,order_date,total_amount,status,payment_method,shipping_city,shipping_country
126,225,2024-06-20,104.27,Cancelled,Credit Card,West Robertland,Saint Kitts and Nevis
127,426,2024-08-09,58.55,Shipped,Credit Card,South Tiffany,Qatar
128,319,2024-12-06,165.76,Processing,Bank Transfer,Andrewport,Georgia
129,79,2025-02-22,156.76,Cancelled,PayPal,Lake Marilynfort,Venezuela
130,80,2025-09-21,99.14,Completed,Bank Transfer,South James,Netherlands Antilles
131,202,2024-08-21,136.74,Processing,PayPal,Floydmouth,Qatar
132,485,2024-05-27,104.42,Completed,Credit Card,South John,Cape Verde
133,407,2025-08-02,48.41,Completed,Credit Card,Bellshire,Bolivia
134,62,2024-12-20,60.83,Processing,Bank Transfer,Michaelmouth,Faroe Islands
135,414,2024-08-30,65.16,Cancelled,Bank Transfer,Jenniferton,Yemen
136,438,2024-05-03,160.14,Completed,Debit Card,East Joan,Kenya
137,356,2025-10-18,94.54,Completed,Credit Card,Port Vernonmouth,British Indian Ocean Territory (Chagos Archipelago)
138,253,2024-05-27,130.62,Completed,Bank Transfer,Lake Michelle,Egypt
139,384,2024-11-29,18.32,Completed,PayPal,West Erica,United States Virgin Islands
140,11,2025-02-08,164.81,Completed,Bank Transfer,Kaylamouth,Bouvet Island (Bouvetoya)
141,436,2024-06-27,291.76,Completed,Bank Transfer,Lake Jimmy,El Salvador
142,450,2024-12-16,59.95,Completed,Debit Card,West Timothyport,Congo
143,7,2024-07-31,85.76,Completed,Bank Transfer,Richardland,Croatia
144,393,2025-02-26,122.19,Processing,Bank Transfer,Walkershire,Saint Martin
145,132,2026-03-06,179.67,Processing,Debit Card,Lake Matthewberg,Nepal
146,213,2024-12-19,93.57,Completed,Bank Transfer,Hopkinstown,Albania
147,164,2024-10-29,11.88,Completed,Credit Card,Zacharyville,Ghana
148,215,2025-01-28,152.85,Completed,PayPal,Susanmouth,Mongolia
149,78,2026-01-14,41.83,Processing,Bank Transfer,Lake Chelseabury,Russian Federation
150,112,2026-03-11,47.27,Completed,Bank Transfer,Meganstad,Brazil
151,120,2024-07-14,117.26,Shipped,PayPal,Georgemouth,Switzerland
152,331,2024-05-22,117.62,Shipped,PayPal,Meganside,Cocos (Keeling) Islands
153,22,2024-09-16,98.79,Shipped,Debit Card,Rodneyside,Panama
154,50,2024-10-15,54.35,Completed,Credit Card,South Brittanytown,Belize
155,23,2025-11-17,65.01,Completed,Credit Card,Brianshire,Lesotho
156,420,2025-07-19,49.31,Cancelled,PayPal,Wilsonland,Hong Kong
157,401,2025-07-11,129.37,Completed,Debit Card,East Bradleyshire,Nauru
158,276,2024-10-12,248.37,Completed,Credit Card,Walkerbury,Israel
159,272,2025-04-29,31.58,Completed,Debit Card,East Tylerstad,Mali
160,157,2025-05-12,232.4,Completed,Bank Transfer,Hammondshire,Barbados
161,227,2025-11-17,65.3,Cancelled,Bank Transfer,Lake Colleen,Nepal
162,327,2025-05-08,16.78,Shipped,Debit Card,Silvatown,Malawi
163,397,2025-02-05,68.12,Cancelled,PayPal,Maryview,Mozambique
164,152,2024-07-10,32.42,Cancelled,Bank Transfer,South April,United States Minor Outlying Islands
165,415,2024-11-07,37.72,Completed,Debit Card,Jameshaven,Maldives
166,354,2024-05-29,26.12,Completed,PayPal,North Dawnburgh,Madagascar
167,408,2024-12-15,76.65,Completed,Credit Card,Scotttown,Russian Federation
168,47,2025-04-08,196.71,Shipped,Credit Card,North Robert,Greenland
169,334,2025-06-15,112.32,Completed,PayPal,Brownberg,Burundi
170,449,2025-02-22,50.35,Shipped,Credit Card,East Stevenville,Mali
171,32,2024-06-01,38.86,Completed,Debit Card,East Michelle,South Georgia and the South Sandwich Islands
172,100,2025-04-23,47.42,Processing,Debit Card,Penafort,Nicaragua
173,415,2024-05-04,15.4,Completed,PayPal,Jameshaven,Maldives
174,282,2025-02-22,39.43,Cancelled,PayPal,New Dennisfurt,Belarus
175,474,2025-08-17,168.12,Shipped,Bank Transfer,Port Dennis,Monaco
176,204,2024-10-10,256.02,Processing,PayPal,West James,Oman
177,433,2026-03-22,155.3,Processing,Bank Transfer,Hamptonmouth,Tuvalu
178,461,2026-03-01,16.73,Cancelled,Bank Transfer,Shortton,Swaziland
179,91,2024-04-26,142.72,Shipped,Credit Card,South Ashley,Morocco
180,1,2024-11-07,50.44,Completed,PayPal,New Roberttown,Bermuda
181,103,2025-06-16,251.14,Completed,Debit Card,Kimtown,Falkland Islands (Malvinas)
182,460,2025-07-11,92.88,Completed,Debit Card,North Sarahborough,Palau
183,363,2025-09-18,85.15,Cancelled,Debit Card,Lake Lisa,Bosnia and Herzegovina
184,423,2024-06-29,77.42,Processing,Credit Card,Port Joseph,Denmark
185,439,2024-10-20,105.25,Cancelled,Bank Transfer,Mcdonaldside,Vietnam
186,60,2025-11-25,118.71,Shipped,Debit Card,New Stacyland,Dominican Republic
187,180,2025-06-16,156.6,Cancelled,PayPal,Derrickshire,Dominican Republic
188,360,2025-08-31,157.38,Shipped,PayPal,Port Jennifer,Saint Helena
189,314,2025-12-12,67.48,Completed,PayPal,East Lindsey,Brunei Darussalam
190,176,2024-07-18,38.39,Completed,Credit Card,Whitneyfort,Malta
191,392,2024-12-04,72.97,Shipped,Bank Transfer,Hammondborough,United States of America
192,74,2025-06-27,97.26,Processing,Bank Transfer,Moonburgh,Myanmar
193,249,2025-02-21,59.19,Completed,Bank Transfer,West Nancy,Antigua and Barbuda
194,131,2025-03-24,74.52,Processing,Credit Card,West Kyleborough,Guam
195,489,2024-06-16,73.1,Processing,Debit Card,East Grace,Guinea-Bissau
196,58,2026-01-29,138.16,Shipped,Debit Card,Petersenshire,Ethiopia
197,106,2025-08-18,158.48,Shipped,Credit Card,Stephentown,Bahamas
198,136,2025-05-05,33.26,Completed,Bank Transfer,Whiteheadberg,Switzerland
199,449,2024-09-17,41.06,Completed,Credit Card,East Stevenville,Mali
200,84,2025-12-11,12.55,Shipped,Bank Transfer,South Tammie,Brunei Darussalam
201,149,2024-07-31,137.25,Processing,Debit Card,North Emilyfurt,Haiti
202,184,2025-01-26,45.95,Processing,PayPal,North Kennethville,Vanuatu
203,448,2025-06-05,137.58,Cancelled,Bank Transfer,Whiteview,Svalbard & Jan Mayen Islands
204,135,2024-08-20,185.69,Cancelled,Credit Card,Brettfort,Tunisia
205,109,2025-12-10,118.04,Completed,Debit Card,Mariafurt,Israel
206,331,2024-10-19,111.78,Completed,Bank Transfer,Meganside,Cocos (Keeling) Islands
207,150,2025-06-03,34.21,Completed,Debit Card,East Carlosstad,Guyana
208,222,2025-03-07,113.8,Shipped,Credit Card,Millerport,South Georgia and the South Sandwich Islands
209,335,2026-03-20,168.04,Completed,Credit Card,South Marvinburgh,Germany
210,58,2025-06-17,106.36,Cancelled,Debit Card,Petersenshire,Ethiopia
211,156,2025-03-28,34.44,Completed,Bank Transfer,Tannerside,Bulgaria
212,248,2024-05-14,329.46,Completed,PayPal,West Kimberlystad,Mauritius
213,155,2024-04-12,69.62,Completed,Debit Card,Port Michael,Czech Republic
214,313,2026-01-03,46.34,Processing,PayPal,South Kent,Indonesia
215,95,2025-04-07,22.6,Completed,PayPal,Coffeyport,San Marino
216,478,2026-01-16,160.6,Cancelled,Debit Card,Port Marissa,France
217,246,2025-08-07,29.65,Shipped,Debit Card,Ortizfort,Israel
218,191,2024-11-22,39.36,Processing,Credit Card,New Seanstad,Belarus
219,435,2025-09-01,55.47,Completed,PayPal,Nelsonmouth,Slovakia (Slovak Republic)
220,148,2024-08-20,122.92,Completed,Credit Card,Kirkchester,Chad
221,380,2024-04-12,294.54,Completed,Credit Card,North Stephen,Greenland
222,476,2024-05-28,83.97,Cancelled,PayPal,Jamesstad,Nepal
223,218,2026-04-07,22.57,Completed,Debit Card,East Sarahmouth,Andorra
224,365,2026-03-28,32.01,Cancelled,Debit Card,Meganside,Tokelau
225,88,2025-04-21,217.99,Cancelled,Debit Card,Knightburgh,Chile
226,251,2024-11-10,214.0,Completed,Credit Card,Port Brian,Guernsey
227,186,2025-07-20,103.07,Completed,PayPal,East Cheryl,Northern Mariana Islands
228,392,2024-10-23,85.08,Completed,Debit Card,Hammondborough,United States of America
229,58,2026-01-24,55.91,Shipped,Bank Transfer,Petersenshire,Ethiopia
230,103,2025-09-22,33.78,Completed,Credit Card,Kimtown,Falkland Islands (Malvinas)
231,171,2025-02-01,86.07,Completed,PayPal,Stoneberg,New Caledonia
232,216,2025-01-09,184.47,Completed,Credit Card,South Nicholasside,Lebanon
233,263,2026-01-26,145.89,Shipped,Debit Card,New Debramouth,Guernsey
234,407,2025-08-16,58.08,Completed,Bank Transfer,Bellshire,Bolivia
235,95,2024-09-24,69.41,Completed,PayPal,Coffeyport,San Marino
236,475,2025-07-10,134.48,Completed,Credit Card,East Charles,Singapore
237,183,2026-01-24,182.72,Shipped,Bank Transfer,East Robertburgh,Vietnam
238,381,2025-05-13,295.9,Shipped,PayPal,Hughesfurt,Jersey
239,301,2024-11-16,71.78,Processing,Debit Card,Rosalesshire,Antigua and Barbuda
240,27,2024-05-17,56.45,Processing,Credit Card,Cherylhaven,Algeria
241,273,2024-08-15,77.09,Processing,PayPal,Port Rachelmouth,Sri Lanka
242,427,2025-11-07,135.57,Cancelled,Debit Card,Michaelview,Colombia
243,464,2025-05-31,58.79,Completed,Debit Card,Dianeside,Netherlands Antilles
244,318,2025-06-23,70.62,Cancelled,Debit Card,New Charlotte,Puerto Rico
245,422,2024-06-05,35.66,Shipped,PayPal,Jefferyshire,Ethiopia
246,485,2024-12-01,124.74,Processing,Bank Transfer,South John,Cape Verde
247,375,2024-06-20,126.04,Processing,PayPal,South Amy,Iraq
248,154,2025-02-13,108.01,Processing,Credit Card,Elizabethland,Mexico
249,237,2025-10-06,235.42,Completed,Debit Card,Matthewborough,Mali
250,407,2024-07-16,84.78,Completed,Credit Card,Bellshire,Bolivia
251,43,2026-01-17,46.98,Completed,Credit Card,Robinsonhaven,Kyrgyz Republic
252,397,2024-07-29,81.69,Completed,Debit Card,Maryview,Mozambique
253,296,2025-10-27,148.14,Completed,PayPal,Port Vanessa,Turkmenistan
254,427,2025-06-18,55.23,Completed,Bank Transfer,Michaelview,Colombia
255,474,2024-11-15,143.12,Shipped,Debit Card,Port Dennis,Monaco
256,382,2026-02-23,140.94,Processing,Credit Card,Lake Melaniestad,Vanuatu
257,394,2025-03-13,43.3,Cancelled,Credit Card,Port Tamara,Nicaragua
258,383,2024-09-22,57.74,Cancelled,Credit Card,Shorttown,Lebanon
259,6,2025-07-30,145.1,Completed,Credit Card,East Steven,Faroe Islands
260,294,2025-05-09,194.9,Completed,Credit Card,Lake John,Martinique
261,146,2025-12-25,12.61,Completed,Bank Transfer,Port Michealfurt,Samoa
262,106,2024-12-15,39.99,Shipped,Bank Transfer,Stephentown,Bahamas
263,106,2026-02-27,93.42,Shipped,Bank Transfer,Stephentown,Bahamas
264,291,2025-09-23,81.34,Completed,Credit Card,North Joshuaberg,Italy
265,361,2025-01-03,186.06,Completed,Bank Transfer,Summersborough,Saint Barthelemy
266,47,2025-08-18,36.57,Completed,Debit Card,North Robert,Greenland
267,441,2024-11-01,145.35,Shipped,Credit Card,West Alex,Mali
268,52,2025-11-17,81.54,Shipped,Credit Card,Lake Casey,Pakistan
269,338,2025-10-13,141.0,Completed,Bank Transfer,East Heather,Guatemala
270,393,2025-03-29,176.02,Cancelled,Credit Card,Walkershire,Saint Martin
271,194,2024-11-10,85.44,Completed,Bank Transfer,New Charles,Jamaica
272,40,2024-10-20,118.26,Completed,Debit Card,Leonburgh,Palestinian Territory
273,210,2025-09-08,60.3,Completed,Credit Card,South Andrea,Western Sahara
274,97,2024-12-17,66.35,Cancelled,Debit Card,Brendastad,Botswana
275,74,2025-01-02,206.58,Shipped,Credit Card,Moonburgh,Myanmar
276,135,2024-09-22,11.83,Cancelled,PayPal,Brettfort,Tunisia
277,304,2025-04-04,177.13,Completed,Bank Transfer,Costachester,Lithuania
278,134,2025-07-21,169.47,Cancelled,PayPal,Murrayport,Slovakia (Slovak Republic)
279,89,2024-12-23,69.59,Processing,Debit Card,Littlemouth,Equatorial Guinea
280,447,2024-04-24,202.78,Completed,Bank Transfer,Steventon,Greenland
281,70,2026-03-22,47.14,Shipped,Credit Card,Jonesbury,Uzbekistan
282,329,2025-10-01,233.92,Shipped,Debit Card,Guerreroberg,Saint Helena
283,398,2024-07-24,244.51,Cancelled,Credit Card,Nicholasbury,Maldives
284,260,2025-08-27,55.65,Shipped,Debit Card,South Diana,Romania
285,493,2026-03-29,54.04,Processing,Debit Card,New Amanda,Saint Pierre and Miquelon
286,390,2024-04-13,82.7,Shipped,Credit Card,Nataliemouth,Kiribati
287,319,2025-07-28,142.66,Completed,Bank Transfer,Andrewport,Georgia
288,69,2025-04-17,87.18,Completed,Debit Card,New Charles,Afghanistan
289,35,2024-04-15,157.77,Cancelled,Debit Card,Sheilaville,Turkey
290,231,2026-03-13,21.12,Shipped,Credit Card,Hahnborough,Kazakhstan
291,11,2024-04-19,145.89,Completed,PayPal,Kaylamouth,Bouvet Island (Bouvetoya)
292,139,2025-09-16,221.08,Completed,PayPal,West Jasonberg,Mexico
293,74,2024-08-24,124.81,Completed,Bank Transfer,Moonburgh,Myanmar
294,78,2025-02-26,66.71,Cancelled,PayPal,Lake Chelseabury,Russian Federation
295,91,2025-06-17,33.24,Completed,PayPal,South Ashley,Morocco
296,95,2026-03-08,30.56,Completed,PayPal,Coffeyport,San Marino
297,89,2025-10-04,79.34,Shipped,Credit Card,Littlemouth,Equatorial Guinea
298,19,2025-10-10,52.6,Completed,Bank Transfer,South Jessicaville,Egypt
299,111,2025-04-26,26.39,Completed,PayPal,Parrishton,France
300,29,2025-11-25,160.57,Completed,Bank Transfer,Calderonton,Afghanistan
301,370,2025-02-11,21.21,Completed,Credit Card,Heatherton,Vanuatu
302,6,2025-06-03,37.65,Completed,PayPal,East Steven,Faroe Islands
303,70,2024-06-14,187.27,Completed,Bank Transfer,Jonesbury,Uzbekistan
304,88,2025-12-14,15.48,Completed,Bank Transfer,Knightburgh,Chile
305,290,2026-02-21,131.41,Completed,Credit Card,Stephensonton,Nicaragua
306,412,2025-08-29,51.66,Completed,Debit Card,East Williammouth,Spain
307,381,2025-08-30,215.25,Shipped,Bank Transfer,Hughesfurt,Jersey
308,428,2024-06-11,96.81,Completed,PayPal,Haynesstad,Haiti
309,423,2025-06-04,166.35,Completed,Credit Card,Port Joseph,Denmark
310,332,2024-05-06,21.8,Shipped,Debit Card,Destinybury,Guinea
311,387,2026-03-06,148.41,Completed,Credit Card,Newmanland,French Guiana
312,299,2026-01-18,21.28,Completed,Bank Transfer,West Kevinberg,Cayman Islands
313,453,2026-01-05,75.81,Completed,Debit Card,Lake Amanda,Botswana
314,162,2025-09-15,59.64,Completed,Credit Card,South Pamelaside,French Guiana
315,334,2025-03-23,109.26,Shipped,PayPal,Brownberg,Burundi
316,139,2025-09-16,85.68,Completed,Credit Card,West Jasonberg,Mexico
317,295,2024-07-16,170.28,Cancelled,Credit Card,New Louis,Saint Pierre and Miquelon
318,88,2025-01-11,140.78,Shipped,Bank Transfer,Knightburgh,Chile
319,131,2026-01-03,90.88,Shipped,Bank Transfer,West Kyleborough,Guam
320,65,2025-01-29,92.59,Completed,Debit Card,Garciatown,Montserrat
321,234,2026-01-14,53.49,Completed,Credit Card,Lake Cheyenne,Mongolia
322,290,2025-07-23,50.8,Completed,Credit Card,Stephensonton,Nicaragua
323,224,2025-01-15,21.36,Completed,PayPal,Hawkinshaven,Ireland
324,202,2025-02-06,197.73,Processing,Credit Card,Floydmouth,Qatar
325,259,2024-08-27,45.24,Completed,Bank Transfer,Erikview,Bermuda
326,164,2026-01-23,112.0,Completed,PayPal,Zacharyville,Ghana
327,103,2025-11-29,175.2,Cancelled,Credit Card,Kimtown,Falkland Islands (Malvinas)
328,450,2026-01-02,130.38,Completed,Debit Card,West Timothyport,Congo
329,381,2025-10-05,229.61,Cancelled,Credit Card,Hughesfurt,Jersey
330,130,2024-04-18,100.64,Completed,Credit Card,Angelicamouth,Suriname
331,197,2024-07-17,137.53,Processing,Bank Transfer,Port Andrewport,Kyrgyz Republic
332,380,2025-04-06,118.5,Processing,Bank Transfer,North Stephen,Greenland
333,5,2025-01-24,330.15,Processing,Bank Transfer,South Joshuastad,Central African Republic
334,246,2026-04-09,42.69,Completed,Debit Card,Ortizfort,Israel
335,351,2024-09-08,85.9,Completed,PayPal,New Noah,Guinea-Bissau
336,488,2025-03-23,35.67,Shipped,Credit Card,Turnerview,Canada
337,163,2024-04-19,119.98,Completed,Debit Card,East Scottfort,Kyrgyz Republic
338,77,2024-10-01,70.86,Completed,Credit Card,Garrettton,Costa Rica
339,36,2025-11-10,52.33,Completed,Bank Transfer,Samuelhaven,Brazil
340,211,2024-04-27,95.9,Completed,Debit Card,Murraystad,Chile
341,298,2025-11-22,20.88,Cancelled,PayPal,North Dylanberg,Singapore
342,367,2024-11-16,19.27,Completed,Credit Card,Craigside,France
343,415,2025-09-22,120.54,Completed,PayPal,Jameshaven,Maldives
344,263,2026-03-28,68.38,Shipped,Bank Transfer,New Debramouth,Guernsey
345,73,2025-10-14,73.94,Completed,Debit Card,North Jeremyshire,Namibia
346,464,2025-01-14,71.85,Completed,Bank Transfer,Dianeside,Netherlands Antilles
347,160,2024-09-07,240.18,Completed,Debit Card,Davidport,Nicaragua
348,55,2024-06-20,167.73,Processing,PayPal,New Hannahbury,Bosnia and Herzegovina
349,403,2026-01-06,176.17,Cancelled,PayPal,Dillonburgh,Cyprus
350,29,2025-08-01,53.62,Completed,PayPal,Calderonton,Afghanistan
351,235,2025-08-10,67.84,Completed,PayPal,West Jeffreyhaven,Moldova
352,103,2024-12-03,88.82,Completed,PayPal,Kimtown,Falkland Islands (Malvinas)
353,16,2025-12-30,245.67,Cancelled,Debit Card,Andrewside,Denmark
354,160,2025-10-21,260.02,Shipped,Bank Transfer,Davidport,Nicaragua
